epoch,lr-Adam,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
,0.001,1815,,,,,,,,,,,
,0.001,1819,,,,,,,,,,,
55,,1819,,,,,,nan,,nan,,,
,0.001,1839,,,,,,,,,,,
55,,1839,,,,,,nan,,nan,,,
55,,1847,,,,,,,,,nan,nan,nan
55,,1847,,,,nan,nan,,nan,,,,
,0.001,1848,,,,,,,,,,,
,0.001,1859,,,,,,,,,,,
56,,1859,,,,,,nan,,nan,,,
,0.001,1879,,,,,,,,,,,
56,,1879,,,,,,nan,,nan,,,
56,,1880,,,,,,,,,nan,nan,nan
56,,1880,,,,nan,nan,,nan,,,,
,0.001,1881,,,,,,,,,,,
,0.001,1899,,,,,,,,,,,
57,,1899,,,,,,nan,,nan,,,
57,,1913,,,,,,,,,nan,nan,nan
57,,1913,,,,nan,nan,,nan,,,,
,0.001,1914,,,,,,,,,,,
,0.001,1919,,,,,,,,,,,
58,,1919,,,,,,nan,,nan,,,
,0.001,1939,,,,,,,,,,,
58,,1939,,,,,,nan,,nan,,,
58,,1946,,,,,,,,,nan,nan,nan
58,,1946,,,,nan,nan,,nan,,,,
,0.001,1947,,,,,,,,,,,
,0.001,1959,,,,,,,,,,,
59,,1959,,,,,,nan,,nan,,,
,0.001,1979,,,,,,,,,,,
59,,1979,,,,,,nan,,nan,,,
59,,1979,,,,,,,,,nan,nan,nan
59,,1979,,,,nan,nan,,nan,,,,
,0.001,1980,,,,,,,,,,,
,0.001,1999,,,,,,,,,,,
60,,1999,,,,,,nan,,nan,,,
60,,2012,,,,,,,,,nan,nan,nan
60,,2012,,,,nan,nan,,nan,,,,
,0.001,2013,,,,,,,,,,,
,0.001,2019,,,,,,,,,,,
61,,2019,,,,,,nan,,nan,,,
,0.001,2039,,,,,,,,,,,
61,,2039,,,,,,nan,,nan,,,
61,,2045,,,,,,,,,nan,nan,nan
61,,2045,,,,nan,nan,,nan,,,,
,0.001,2046,,,,,,,,,,,
,0.001,2059,,,,,,,,,,,
62,,2059,,,,,,nan,,nan,,,
62,,2078,,,,,,,,,nan,nan,nan
62,,2078,,,,nan,nan,,nan,,,,
,0.001,2079,,,,,,,,,,,
,0.001,2079,,,,,,,,,,,
63,,2079,,,,,,nan,,nan,,,
,0.001,2099,,,,,,,,,,,
63,,2099,,,,,,nan,,nan,,,
63,,2111,,,,,,,,,nan,nan,nan
63,,2111,,,,nan,nan,,nan,,,,
,0.001,2112,,,,,,,,,,,
,0.001,2119,,,,,,,,,,,
64,,2119,,,,,,nan,,nan,,,
,0.001,2139,,,,,,,,,,,
64,,2139,,,,,,nan,,nan,,,
64,,2144,,,,,,,,,nan,nan,nan
64,,2144,,,,nan,nan,,nan,,,,
,0.001,2145,,,,,,,,,,,
,0.001,2159,,,,,,,,,,,
65,,2159,,,,,,nan,,nan,,,
65,,2177,,,,,,,,,nan,nan,nan
65,,2177,,,,nan,nan,,nan,,,,
,0.001,2178,,,,,,,,,,,
,0.001,2179,,,,,,,,,,,
66,,2179,,,,,,nan,,nan,,,
,0.001,2199,,,,,,,,,,,
66,,2199,,,,,,nan,,nan,,,
66,,2210,,,,,,,,,nan,nan,nan
66,,2210,,,,nan,nan,,nan,,,,
,0.001,2211,,,,,,,,,,,
,0.001,2219,,,,,,,,,,,
67,,2219,,,,,,nan,,nan,,,
,0.001,2239,,,,,,,,,,,
67,,2239,,,,,,nan,,nan,,,
67,,2243,,,,,,,,,nan,nan,nan
67,,2243,,,,nan,nan,,nan,,,,
,0.001,2244,,,,,,,,,,,
,0.001,2259,,,,,,,,,,,
68,,2259,,,,,,nan,,nan,,,
68,,2276,,,,,,,,,nan,nan,nan
68,,2276,,,,nan,nan,,nan,,,,
,0.001,2277,,,,,,,,,,,
,0.001,2279,,,,,,,,,,,
69,,2279,,,,,,nan,,nan,,,
,0.001,2299,,,,,,,,,,,
69,,2299,,,,,,nan,,nan,,,
69,,2309,,,,,,,,,nan,nan,nan
69,,2309,,,,nan,nan,,nan,,,,
,0.001,2310,,,,,,,,,,,
,0.001,2319,,,,,,,,,,,
70,,2319,,,,,,nan,,nan,,,
,0.001,2339,,,,,,,,,,,
70,,2339,,,,,,nan,,nan,,,
70,,2342,,,,,,,,,nan,nan,nan
70,,2342,,,,nan,nan,,nan,,,,
,0.001,2343,,,,,,,,,,,
,0.001,2359,,,,,,,,,,,
71,,2359,,,,,,nan,,nan,,,
71,,2375,,,,,,,,,nan,nan,nan
71,,2375,,,,nan,nan,,nan,,,,
,0.001,2376,,,,,,,,,,,
,0.001,2379,,,,,,,,,,,
72,,2379,,,,,,nan,,nan,,,
,0.001,2399,,,,,,,,,,,
72,,2399,,,,,,nan,,nan,,,
72,,2408,,,,,,,,,nan,nan,nan
72,,2408,,,,nan,nan,,nan,,,,
,0.001,2409,,,,,,,,,,,
,0.001,2419,,,,,,,,,,,
73,,2419,,,,,,nan,,nan,,,
,0.001,2439,,,,,,,,,,,
73,,2439,,,,,,nan,,nan,,,
73,,2441,,,,,,,,,nan,nan,nan
73,,2441,,,,nan,nan,,nan,,,,
,0.001,2442,,,,,,,,,,,
,0.001,2459,,,,,,,,,,,
74,,2459,,,,,,nan,,nan,,,
74,,2474,,,,,,,,,nan,nan,nan
74,,2474,,,,nan,nan,,nan,,,,
,0.001,2475,,,,,,,,,,,
,0.001,2479,,,,,,,,,,,
75,,2479,,,,,,nan,,nan,,,
,0.001,2499,,,,,,,,,,,
75,,2499,,,,,,nan,,nan,,,
75,,2507,,,,,,,,,nan,nan,nan
75,,2507,,,,nan,nan,,nan,,,,
,0.001,2508,,,,,,,,,,,
,0.001,2519,,,,,,,,,,,
76,,2519,,,,,,nan,,nan,,,
,0.001,2539,,,,,,,,,,,
76,,2539,,,,,,nan,,nan,,,
76,,2540,,,,,,,,,nan,nan,nan
76,,2540,,,,nan,nan,,nan,,,,
,0.001,2541,,,,,,,,,,,
,0.001,2559,,,,,,,,,,,
77,,2559,,,,,,nan,,nan,,,
77,,2573,,,,,,,,,nan,nan,nan
77,,2573,,,,nan,nan,,nan,,,,
,0.001,2574,,,,,,,,,,,
,0.001,2579,,,,,,,,,,,
78,,2579,,,,,,nan,,nan,,,
,0.001,2599,,,,,,,,,,,
78,,2599,,,,,,nan,,nan,,,
78,,2606,,,,,,,,,nan,nan,nan
78,,2606,,,,nan,nan,,nan,,,,
,0.001,2607,,,,,,,,,,,
,0.001,2619,,,,,,,,,,,
79,,2619,,,,,,nan,,nan,,,
,0.001,2639,,,,,,,,,,,
79,,2639,,,,,,nan,,nan,,,
79,,2639,,,,,,,,,nan,nan,nan
79,,2639,,,,nan,nan,,nan,,,,
,0.001,2640,,,,,,,,,,,
,0.001,2659,,,,,,,,,,,
80,,2659,,,,,,nan,,nan,,,
80,,2672,,,,,,,,,nan,nan,nan
80,,2672,,,,nan,nan,,nan,,,,
,0.001,2673,,,,,,,,,,,
,0.001,2679,,,,,,,,,,,
81,,2679,,,,,,nan,,nan,,,
,0.001,2699,,,,,,,,,,,
81,,2699,,,,,,nan,,nan,,,
81,,2705,,,,,,,,,nan,nan,nan
81,,2705,,,,nan,nan,,nan,,,,
,0.001,2706,,,,,,,,,,,
,0.001,2719,,,,,,,,,,,
82,,2719,,,,,,nan,,nan,,,
82,,2738,,,,,,,,,nan,nan,nan
82,,2738,,,,nan,nan,,nan,,,,
,0.001,2739,,,,,,,,,,,
,0.001,2739,,,,,,,,,,,
83,,2739,,,,,,nan,,nan,,,
,0.001,2759,,,,,,,,,,,
83,,2759,,,,,,nan,,nan,,,
83,,2771,,,,,,,,,nan,nan,nan
83,,2771,,,,nan,nan,,nan,,,,
,0.001,2772,,,,,,,,,,,
,0.001,2779,,,,,,,,,,,
